Date,AUD,CAD,CHF,EUR,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,ZAR
20150730,0.444591991,0.198424011,0.788886529,0.684618895,0.070775338,0.197292553,0.500214832,1.321618826,0.227048652,0.074748184,0.964789029,0.492059261,0.212262218,0.629371231,0.537682802,0.381666629,0.810334067,1.154131531
20150729,0.034161167,-0.456351649,-0.392298057,-0.045330916,-0.342058093,0.138076477,-0.016031584,-0.566970294,-0.121378215,-0.311241469,-0.129910267,0.020424802,-1.073835352,0.196792477,-0.032068172,0.149502366,0.347036085,-0.170913895
20150728,-0.32821158,-0.125293951,0.905186312,0.299319728,-0.446557071,-0.37877116,0.468657198,-0.442035545,-0.132820706,0.071921359,-0.874962971,-0.085098588,1.153478924,0.306746949,-0.223624191,0.018580411,-0.89071099,-0.984744927
20150727,-0.248384248,-0.461323913,-0.295067099,-1.076143968,-0.264489753,0.146655041,-0.689779608,-0.381411779,-0.135227834,-0.564781698,-0.654812608,-0.049967007,1.860510498,-0.795942091,-0.33285015,-0.165381085,0.877014432,0.423548332
20150724,1.998063586,0.893733142,0.500693365,0.548496206,0.905354867,0.440849281,0.216165517,1.311267022,0.543690562,0.913086871,1.726250638,0.479949119,1.734247143,0.485601428,0.615399191,0.595856482,0.917481513,1.644436714
20150723,-0.351567841,-0.154271999,-0.55093732,-0.881898354,-0.001731883,0.046770548,-0.022747525,0.47383234,0.28521196,-0.169058877,-1.39059529,0.351544526,0.490069303,-0.368541035,0.050100721,0.219559582,0.170771977,0.4257477
20150722,-0.192607167,0.02491839,0.079965292,-0.321042011,-0.39237374,0.26769371,-0.461154477,0.040136694,-0.200391598,-0.516677267,0.296652626,-0.034905626,0.306765675,-0.158249609,0.001347989,0.546217332,1.173016699,-0.153795437
20150721,0.15402106,0.053314605,-0.1667203,-0.138032576,0.091172915,-0.314835743,0.113788747,-0.259826141,-0.234636573,0.097715984,-0.295524457,-0.261895528,-0.077196037,0.118453969,-0.50006992,0.14527895,-0.025132342,-0.12913513
20150720,0.27956785,0.049840094,0.456384915,0.340950977,0.168519155,0.562227021,0.207172952,0.780387496,0.355513193,0.510436283,-0.462066442,0.275704483,0.287147989,0.349542271,0.509647935,0.810426506,1.477791493,0.70959037
20150717,-0.208821733,0.237724827,0.028109325,-0.202038755,-0.173447447,-0.333678515,-0.120661618,-0.139677022,-0.124734047,0.051455728,-0.531227184,-0.106635436,-0.198009086,0.494923954,-0.094541287,-0.196671397,-0.125909935,-0.754507867
