Date,AUD,CAD,CHF,GBP,IDR,JPY,KRW,MYR,NOK,NZD,PHP,RUB,SEK,SGD,THB,TRY,USD,ZAR
20150831,-0.22800684,-0.608532834,0.166558712,-0.624231662,-0.161192801,-0.066098707,-0.018083183,-0.354076116,0.198072805,0.337586542,-0.27360301,-0.902438185,0.083199056,-0.012623075,-0.591013625,-0.577139212,-0.470358537,0.268193582
20150828,-0.006333122,0.201018494,0.334230805,0.123085339,-0.009052822,0.398171361,-0.275759466,-1.229267884,-0.664716831,0.045795409,-0.070251386,-0.605526316,-0.781601028,0.322927879,0.539505743,-0.118325243,-0.14179369,0.766154096
20150827,-1.083756186,-1.32892562,-0.064947114,-0.027344818,-1.798699575,-0.615565001,-1.677046625,-1.365335757,-1.047147969,-0.506891445,-1.01488498,-4.263547338,-0.886522986,-1.330750968,-1.103980723,-1.228648487,-1.034906157,-0.660420414
20150826,0.163142373,-0.368882155,-0.516891268,0.329218107,-0.377605521,-1.001160766,-0.249088028,-0.156736579,1.208925813,-0.215958172,-0.775772042,-0.339463938,0.945082747,-0.484953992,-0.530718059,-0.70225555,-0.903876238,-0.808862201
20150825,0.213796139,-0.360987136,0.528904148,-0.164338537,-0.033927771,0.029027576,-2.324995501,-1.169924383,0.208133205,0.393678325,-0.45111107,-2.194199553,0.650286736,-1.173579109,-0.566620462,-1.071533706,0.078281291,-1.522293536
20150824,3.373634945,3.036450937,0.111472364,1.44484579,2.713338014,-0.433526012,3.18179455,4.578493019,1.018922853,3.489607936,2.305661596,5.639320106,-0.292716705,2.668433005,2.313950885,2.817881897,1.914723872,4.48109815
20150821,0.634526068,0.735744942,-0.06498329,0.840571589,1.095606132,-0.072202166,1.041627581,2.166811847,0.454914703,0.224878684,0.978079512,2.345624108,0.315742943,0.955292319,0.84558639,-0.199365655,0.876330144,0.83992402
20150820,1.736989219,1.718522625,0.158066016,1.262590438,1.77644183,0.866652101,1.813889165,1.391035549,0.703534031,0.649234618,1.965270445,3.816946443,0.433385481,1.270557885,1.409669211,2.6734485,1.286115388,1.640713854
20150819,-0.258878194,-0.434662619,-0.398221893,0.099403579,0.035934329,-0.094586729,0.064987691,0.110521662,0.136529955,-0.06547619,-0.044956119,-0.169232674,0.341528606,-0.058012118,-0.020352091,0.904425111,-0.171790235,-0.286320329
20150818,-0.205352411,-0.596666895,-0.396642376,-0.886699507,-0.750129602,-0.564317754,-0.615482812,-0.636942675,-0.032756456,-0.750280617,-0.470789643,0.066774516,-0.17787189,-0.830989517,0.11206194,0.721828211,-0.36036036,-0.343937491
20150817,-0.171934929,0.068629469,-0.312643678,-0.55983205,0.036002547,-0.346070656,0.095833523,-0.116271417,0.229822161,-0.622321376,-0.298698528,0.249683927,0.150570471,-0.146805387,-0.147500127,0.230633135,-0.635574255,0.288958699
20150814,0.006613319,0.802490488,0.239653424,0.548831973,0.123040766,0.340013022,0.430817178,2.307260689,0.694253127,0.816809707,0.477471157,1.43163141,-0.224291155,0.823733831,0.336820618,2.126286581,0.55810604,0.507717731
20150813,-0.046271814,-0.082947398,-0.138070692,-0.601482725,0.222043399,-0.158902131,-0.090816817,-1.122922261,-0.016527104,0.284917196,-0.355374308,-1.010557359,-1.351562908,-0.721952466,-0.333155311,0.090424673,-0.412371134,0.02250779
